facility_address,facility_city,facility_state,facility_zip,concat_address
24301 CRENSHAW BLVD,TORRANCE,CA,90505,"24301 CRENSHAW BLVD, TORRANCE, CA 90505"
15553 E VALLEY BLVD,LA PUENTE,CA,91744,"15553 E VALLEY BLVD, LA PUENTE, CA 91744"
18912 E GALE AVE STE #A,ROWLAND HEIGHTS,CA,91748,"18912 E GALE AVE STE #A, ROWLAND HEIGHTS, CA 91748"
3614 MLK JR BLVD,LYNWOOD,CA,90262,"3614 MLK JR BLVD, LYNWOOD, CA 90262"
17198 S NORWALK BLVD,CERRITOS,CA,90703,"17198 S NORWALK BLVD, CERRITOS, CA 90703"
1320 N VINE ST,LOS ANGELES,CA,90038,"1320 N VINE ST, LOS ANGELES, CA 90038"
7445 SUNSET BLVD # B,LOS ANGELES,CA,90046,"7445 SUNSET BLVD # B, LOS ANGELES, CA 90046"
1250 E HARVARD RD,BURBANK,CA,91501,"1250 E HARVARD RD, BURBANK, CA 91501"
2114 S SAWTELLE BLVD # 211,LOS ANGELES,CA,90025,"2114 S SAWTELLE BLVD # 211, LOS ANGELES, CA 90025"
9811 SANTA MONICA BLVD,BEVERLY HILLS,CA,90210,"9811 SANTA MONICA BLVD, BEVERLY HILLS, CA 90210"
18427 S AVALON BLVD,CARSON,CA,90746,"18427 S AVALON BLVD, CARSON, CA 90746"
307 LINCOLN BLVD,VENICE,CA,90291,"307 LINCOLN BLVD, VENICE, CA 90291"
305 E 8TH ST 103,LOS ANGELES,CA,90014,"305 E 8TH ST 103, LOS ANGELES, CA 90014"
618 SHOPPERS LN,COVINA,CA,91723,"618 SHOPPERS LN, COVINA, CA 91723"
OLVERA ST E17,LOS ANGELES,CA,90012,"OLVERA ST E17, LOS ANGELES, CA 90012"
1460 3RD ST,SANTA MONICA,CA,90401,"1460 3RD ST, SANTA MONICA, CA 90401"
20311 VALLEY BLVD E,WALNUT,CA,91789,"20311 VALLEY BLVD E, WALNUT, CA 91789"
12440 E IMPERIAL HWY,NORWALK,CA,90651,"12440 E IMPERIAL HWY, NORWALK, CA 90651"
1133 GLENOAKS BLVD #A,GLENDALE,CA,91202,"1133 GLENOAKS BLVD #A, GLENDALE, CA 91202"
9727 CULVER BLVD,CULVER CITY,CA,90232,"9727 CULVER BLVD, CULVER CITY, CA 90232"
