facility_name,program_name,facility_address,facility_city,facility_zip
GEN KOREAN BBQ,GEN KOREAN BBQ,24301 CRENSHAW BLVD,TORRANCE,90505
DENNY'S,DENNY'S,15553 E VALLEY BLVD,LA PUENTE,91744
TEA LAB,TEA LAB,18912 E GALE AVE STE #A,ROWLAND HEIGHTS,91748
EL BOTANITAS,EL BOTANITAS,3614 MLK JR BLVD,LYNWOOD,90262
POLLY'S PIES,POLLY'S PIES,17198 S NORWALK BLVD,CERRITOS,90703
CHINATOWN EXPRESS,CHINATOWN EXPRESS,1320 N VINE ST,LOS ANGELES,90038
MOUN OF TUNIS,MOUN OF TUNIS,7445 SUNSET BLVD # B,LOS ANGELES,90046
CASTAWAY,CASTAWAY,1250 E HARVARD RD,BURBANK,91501
BLU TUSK,BLU TUSK,2114 S SAWTELLE BLVD # 211,LOS ANGELES,90025
STARBUCKS #5401,STARBUCKS,9811 SANTA MONICA BLVD,BEVERLY HILLS,90210
R & R SOUL FOOD,R & R SOUL FOOD,18427 S AVALON BLVD,CARSON,90746
BANH MI,BANH MI,307 LINCOLN BLVD,VENICE,90291
COFFEE COLAB,COFFEE COLAB,305 E 8TH ST 103,LOS ANGELES,90014
FONDA DON CHON,FONDA DON CHON,618 SHOPPERS LN,COVINA,91723
MAGDALENO DEBBIE,MAGDALENO DEBBIE,OLVERA ST E17,LOS ANGELES,90012
CAFE CREPE,CAFE CREPE,1460 3RD ST,SANTA MONICA,90401
TEN RENS TEA TI ME,TEN RENS TEA TI ME,20311 VALLEY BLVD E,WALNUT,91789
CAFE MOMO,CAFE MOMO,12440 E IMPERIAL HWY,NORWALK,90651
CAFE BRAVO,CAFE BRAVO,1133 GLENOAKS BLVD #A,GLENDALE,91202
MEET,MEET,9727 CULVER BLVD,CULVER CITY,90232
FOOD SYSTEMS INC.,FOOD SYSTEMS INC.,2350 E 223RD ST,CARSON,90749
BREAD LOUNGE,BREAD LOUNGE,700 S SANTA FE AVE,LOS ANGELES,90021
DOMINO'S PIZZA,DOMINO'S PIZZA,1802 E HUNTINGTON DR STE #B,DUARTE,91010
CAFE DULCE,CAFE DULCE,134 S JAPANESE VILLAGE PLZ,LOS ANGELES,90021
CORAL CAFE,CORAL CAFE,3321 W BURBANK BLVD,BURBANK,91505
LA CABANA,LA CABANA,738 ROSE AVE,VENICE,90291
STEAK & SHAKE,STEAK & SHAKE,1455 W 3RD ST,SANTA MONICA,90401
SILOG,SILOG,1555 W SEPULVEDA BLVD,TORRANCE,90501
H.P BAKERY,H.P BAKERY,2881 GAGE AVE,HUNTINGTON PARK,90255
CARAMBA,CARAMBA,3020 W MAIN ST,ALHAMBRA,91801
EL LLANO,EL LLANO,13720 E RAMONA BLVD,BALDWIN PARK,91706
THAI CORNER,THAI CORNER,2615 E CARSON ST,LAKEWOOD,90712
YELLOW BASKET RESTAURANT,YELLOW BASKET,22300 S AVALON CIR,CARSON,90745
CEREZO BAKERY,CEREZO BAKERY,4315 N PECK RD,EL MONTE,91731
EL POLLO INKA,EL POLLO INKA,23705 HAWTHORNE BLVD,TORRANCE,90505
THE HIDEAWAY,THE HIDEAWAY,5523 E SOUTH ST,LAKEWOOD,90713
MOISHE'S,MOISHE'S,6333 W 3RD ST 336,LOS ANGELES,90036
EL TAPATIO,EL TAPATIO,1201 W VENICE BLVD,LOS ANGELES,90006
EGGSLUT,EGGSLUT,317 S BROADWAY ST 101E1,LOS ANGELES,90013
LAS ANITAS,LAS ANITAS,OLVERA ST 26,LOS ANGELES,90012
SOMETHING FISHY,SOMETHING FISHY,21812 VENTURA BLVD,WOODLAND HILLS,91364
ASAVA THAI,ASAVA THAI,970 N WESTERN AVE,LOS ANGELES,90029
CHOP STOP,CHOP STOP,1001 N S F BLVD UNIT 110,BURBANK,91504
WOK EXPRESS,WOK EXPRESS,15330 AMAR RD,LA PUENTE,91744
STICKHOUSE,STICKHOUSE,223 BROADWAY ST,SANTA MONICA,90401
HUGO'S TACOS,HUGO'S TACOS,4749 COLDWATER CANYON BLVD,SHERMAN OAKS,91423
JAMBA JUICE,JAMBA JUICE,5300 LNKERSHIM BLVD # 160,NORTH HOLLYWOOD,91601
JADE HOUSE,JADE HOUSE,18207 E GALE AVE,INDUSTRY,91748
TOMMY TACO,TOMMY TACO,970 GAYLEY AVE,LOS ANGELES,90024
TOLUCO'S RESTAURANT LLC,TOLUCO'S RESTAURANT LLC,497 E WASHINGTON BLVD,MONTEBELLO,90640
HYGGE BAKERY & CAFE,HYGGE BAKERY & CAFE,1106 HOPE ST,LOS ANGELES,90015
APFEL,APFEL,403 N PCH HWY STE 100,REDONDO BEACH,90277
DOLLAR TREE,DOLLAR TREE,18409 S AVALON BLVD,CARSON,90746
GELATERIA ULI,GELATERIA ULI,541 S SPRING ST STE# 104,LOS ANGELES,90013
J'S LIQUOR & DELI,J'S LIQUOR & DELI,22332 S NORMANDIE AVE,TORRANCE,90502
TENMIMI,TENMIMI,2327 HONOLULU AVE,MONTROSE,91020
HANS TERIYAKI,HANS TERIYAKI,16022 E AMAR RD,INDUSTRY,91744
RESTAURANTE SORPRESA,RESTAURANTE SORPRESA,2635 GAGE AVE,HUNTINGTON PARK,90255
PRESIDENT THAI CAFE,PRESIDENT THAI CAFE,9340 E WHITTIER BLVD,PICO RIVERA,90660
KOSMOS BURGER,KOSMOS BURGER,416 FOOTHILL BLVD,SAN DIMAS,91773
WEILERS,WEILERS,22323 SHERMAN WAY,CANOGA PARK,91303
TACOS DON KICHE,TACOS DON KICHE,778 N NOGALES ST # E,WALNUT,91789
BOBADIA,BOBADIA,5626 E WHITTIER,COMMERCE,90022
RICE STREET,RICE STREET,6000 E FLORENCE ST STE B-C,BELL GARDENS,90201
GOLDEN STOP LIQUOR,GOLDEN STOP LIQUOR,19927 GOLDEN VALLEY RD,SANTA CLARITA,91321
OCEAN BO RESTAURANT,OCEAN BO RESTAURANT,3944 N PECK RD A1,EL MONTE,91731
FRESH DONUTS,FRESH DONUTS,3444 E MLK JR BLVD,LYNWOOD,90262
