,name,address,review_count,rating,price,categories,latitude,longitude,yelp_id,hours,name_input,address_input,city_input
0,,,,,,,,,,,DOLE GARDEN COURT CAFE,1 DOLE DR,WESTLAKE VILLAGE
1,Sicha Siam,,152.0,3.5,$,Thai,34.124475,34.124475,JIELQnVOUzQcNTY4IiZYVg,,SICHA SIAM RESTAURANT,4403 EAGLE ROCK BLVD,LOS ANGELES
2,Superior Grocers,,20.0,1.5,$,"Grocery, Bakeries, Meat Shops",33.96893,33.96893,N2b3jR34MO9UrSekVz_f6w,,SUPERIOR GROCERS #105 - MEAT,7300 ATLANTIC BLVD,CUDAHY
3,The Great Caesar Banquet Hall,,79.0,4.5,,Venues & Event Spaces,34.24761,34.24761,7q0qqNsv2qirxqOdvM8uNQ,,CAESAR PALACE,6723 FOOTHILL BLVD,TUJUNGA
4,,,,,,,,,,,WALGREEN'S #09050,253 E FOOTHILL BLVD,ARCADIA
5,Cafe of Paris,,73.0,4.0,$,"Breakfast & Brunch, Sandwiches, Cafes",34.064121,34.064121,_r1sUQyj_N5efmh8nHnzTQ,,CAFE OF PARIS,6399 WILSHIRE BLVD #101,LOS ANGELES
6,The Slice,,137.0,3.5,$,"Pizza, Italian",34.0117584,34.0117584,VZcyc4SS2hhdrtiCpdwLjg,,THE SLICE,1622 OCEAN PARK BLVD,SANTA MONICA
7,Kavita Grocery,,35.0,3.5,$,"Grocery, Convenience Stores, International Grocery",34.0218599,34.0218599,D-zG7BPubw24GnwRgkFCsA,,KAVITA GROCERIES,10201 VENICE BLVD,LOS ANGELES
8,Ruth's Chris Steak House,,741.0,4.0,$$$,"Steakhouses, Seafood, Wine Bars",33.986639,33.986639,rKL4-4i0yGAOEs7EpNSgzw,,RUTH'S CHRIS STEAK HOUSE,13455 MAXELLA AVE #230,MARINA DEL REY
9,Ralphs,,78.0,3.0,$$,Grocery,33.82717,33.82717,_TRsxh1r0cjUs7CIkNCI_A,,KIKKA/RALPHS #110,3455 SEPULVEDA BLVD,TORRANCE
10,Belcampo Butcher Shop,,68.0,4.5,$$$,"Butcher, Meat Shops, Health Markets",34.0240954,34.0240954,VK2Esm7-nN_hlnLnlNdYlQ,,BELCAMPO MEAT CO,1026 WILSHIRE BLVD,SANTA MONICA
11,New Moon Cafe,,119.0,3.0,$,Chinese,34.0491055,34.0491055,1EFWlHTr7WrVxeVdLD4oGA,,NEW MOON CAFE,735 S FIGUEROA ST #117,LOS ANGELES
12,,,,,,,,,,,G AND M OIL CO #88,2601 N FIGUEROA ST,LOS ANGELES
13,Stars Drive-In,,233.0,3.5,$,"Burgers, Breakfast & Brunch, Sandwiches",34.2013617636274,34.2013617636274,D4cP94o6GofuGDwhoP1xSQ,,STARS DRIVE INC,20445 SHERMAN WAY,WINNETKA
