,name,address,review_count,rating,price,categories,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,Banh Mi,"307 Lincoln Blvd, Venice, CA 90291",370.0,4.0,$$,"Vietnamese, Sandwiches",34.0011001,-118.4676563,wRaNjp6XeL10V2mJ2je10A,BANH MI,307 LINCOLN BLVD,VENICE,
1,,,,,,,,,,COFFEE COLAB,305 E 8TH ST 103,LOS ANGELES,
2,Fonda Don Chon,"618 E Shoppers Ln, Covina, CA 91723",1967.0,4.5,$$,"Mexican, Buffets, Breakfast & Brunch",34.07838,-117.88813,iUHHuZmrMZJQLHL_eCQSIQ,FONDA DON CHON,618 SHOPPERS LN,COVINA,
3,,,,,,,,,,MAGDALENO DEBBIE,OLVERA ST E17,LOS ANGELES,
4,,,,,,,,,,CAFE CREPE,1460 3RD ST,SANTA MONICA,
5,Ten Ren's Tea Time,"20311 Valley Blvd, Ste E, Walnut, CA 91789",342.0,3.5,$,"Chinese, Bubble Tea, Desserts",34.0096464741049,-117.859934951944,kUumKscKuHG-Rw_ttMUdSw,TEN RENS TEA TI ME,20311 VALLEY BLVD E,WALNUT,
6,Cafe Momo,"12440 E Imperial Hwy, Ste 115, Norwalk, CA 90650",21.0,3.5,$,"American (Traditional), Breakfast & Brunch, Buffets",33.915487563196,-118.067804189108,4LybhiKlQdoW_ZPvrlcT0w,CAFE MOMO,12440 E IMPERIAL HWY,NORWALK,
7,Cafe Bravo,"1135 W Glenoaks Blvd, Glendale, CA 91202",910.0,4.0,$$,"Middle Eastern, Mediterranean, Armenian",34.1649318,-118.2807983,OI8pxsQ7ktNQkomjn74X4A,CAFE BRAVO,1133 GLENOAKS BLVD #A,GLENDALE,
8,Meet in Paris,"9727 Culver Blvd, Culver City, CA 90232",1561.0,4.0,$$,"French, Breakfast & Brunch, Beer, Wine & Spirits",34.0219647,-118.3962699,byuWxWTmdw-vfJw29B9MoA,MEET,9727 CULVER BLVD,CULVER CITY,
9,,,,,,,,,,FOOD SYSTEMS INC.,2350 E 223RD ST,CARSON,
10,Bread Lounge,"700 S Santa Fe Ave, Los Angeles, CA 90021",755.0,4.5,$$,Bakeries,34.034325,-118.229668,bCynbdA4wd_uc9M5RefVmA,BREAD LOUNGE,700 S SANTA FE AVE,LOS ANGELES,
11,Domino's Pizza,"1802 Huntington Dr, # 8, Duarte, CA 91010",71.0,2.5,$,Pizza,34.139133,-117.96605,OZSYKcqAlcA9N6YEXsp9kg,DOMINO'S PIZZA,1802 E HUNTINGTON DR STE #B,DUARTE,
12,Cafe Dulce,"134 Japanese Village Plz, Bldg E, Los Angeles, CA 90012",2171.0,4.0,$,"Coffee & Tea, Bakeries, Cafes",34.04886,-118.240455,8rVWoDNS6JO-5uXOD3VyXw,CAFE DULCE,134 S JAPANESE VILLAGE PLZ,LOS ANGELES,
13,Coral Cafe,"3321 W Burbank Blvd, Burbank, CA 91505",780.0,3.5,$$,"American (Traditional), Breakfast & Brunch, Sandwiches",34.17616,-118.34678,QhgbU_CYdfYAq3gYBHmrEg,CORAL CAFE,3321 W BURBANK BLVD,BURBANK,
14,La Cabana Restaurant,"738 Rose Ave, Venice, CA 90291",843.0,3.5,$$,Mexican,34.000984476731,-118.46824205741,OE6YkMl3WY8zA5kSsTFZqQ,LA CABANA,738 ROSE AVE,VENICE,
15,Steak ’n Shake,"1455 3rd St Promenade, Santa Monica, CA 90401",603.0,2.5,$$,"Burgers, Fast Food, American (Traditional)",34.0146504,-118.4945481,39NODk79ni7799xln_lIIw,STEAK & SHAKE,1455 W 3RD ST,SANTA MONICA,
16,Silog,"1555 Sepulveda Blvd, Torrance, CA 90501",511.0,4.5,$,"Filipino, Comfort Food, Asian Fusion",33.81614,-118.30486,fJh6sLt1aWf_9L1eLVsckw,SILOG,1555 W SEPULVEDA BLVD,TORRANCE,
17,,,,,,,,,,H.P BAKERY,2881 GAGE AVE,HUNTINGTON PARK,
18,,,,,,,,,,CARAMBA,3020 W MAIN ST,ALHAMBRA,
19,El Llano Restaurant,"13720 Ramona Blvd, Baldwin Park, CA 91706",69.0,4.0,$$,"Mexican, Breakfast & Brunch, Seafood",34.08292,-117.97379,vHhZiY0nkmuX5CjwpPe0oQ,EL LLANO,13720 E RAMONA BLVD,BALDWIN PARK,
20,Thai Corner Restaurant,"2615 Carson St, Lakewood, CA 90712",311.0,4.0,$$,Thai,33.833039843785,-118.160452722453,6lfjEaQ66GD19MpnScdlXw,THAI CORNER,2615 E CARSON ST,LAKEWOOD,
21,Yellow Basket,"22300 S Avalon Blvd, Carson, CA 90745",163.0,3.0,$,"Burgers, Fast Food",33.823912,-118.2632375,jmVfb7e4aOc7Py_divGztg,YELLOW BASKET,22300 S AVALON CIR,CARSON,
22,Cerezo Bakery,"4315 Peck Rd, El Monte, CA 91732",9.0,3.5,$,Bakeries,34.0827484130859,-118.018905639648,-ukkJtTYdsExz_V4WB7alw,CEREZO BAKERY,4315 N PECK RD,EL MONTE,
23,El Pollo Inka,"23705 Hawthorne Blvd, Torrance, CA 90505",1048.0,3.5,$$,"Latin American, Peruvian",33.8100263498143,-118.351483014172,8D4Q0sFjcdSNk7k8fMI7cw,EL POLLO INKA,23705 HAWTHORNE BLVD,TORRANCE,
24,The Hideaway,"5523 South St, Lakewood, CA 90713",62.0,3.0,$,Dive Bars,33.860642,-118.124211,Vvws-b895KUZTxtYWzeS0Q,THE HIDEAWAY,5523 E SOUTH ST,LAKEWOOD,
25,Moishe's Restaurant,"6333 W 3rd St, Ste 336, Los Angeles, CA 90036",394.0,3.0,$$,"Middle Eastern, Mediterranean, Sandwiches",34.0722008,-118.3603668,lkwR-q4rLfzh0HP5JI3RCw,MOISHE'S,6333 W 3RD ST 336,LOS ANGELES,
26,El Tapatio,"1201 Venice Blvd, Los Angeles, CA 90006",5.0,5.0,,Mexican,34.042715,-118.28114,lJQnqxLqHIgQwq6nuOgQTA,EL TAPATIO,1201 W VENICE BLVD,LOS ANGELES,
27,Eggslut,"317 S Broadway, Grand Central Market, Los Angeles, CA 90013",5815.0,4.0,$,"Breakfast & Brunch, Sandwiches",34.0505289,-118.2486189,b4SH4SbQUJfXxh6hNkF0wg,EGGSLUT,317 S BROADWAY ST 101E1,LOS ANGELES,
28,Las Anitas,"26 Olvera St, Los Angeles, CA 90012",203.0,3.5,$$,Mexican,34.0572027862072,-118.238174468279,atUAQ-9rovSumS3uMDCDtQ,LAS ANITAS,OLVERA ST 26,LOS ANGELES,
29,Something's Fishy,"21812 Ventura Blvd, Woodland Hills, CA 91364",694.0,4.0,$$,"Sushi Bars, Teppanyaki, Cocktail Bars",34.168065,-118.602687,4RR6S_wO12Q_Uaw3gBRugg,SOMETHING FISHY,21812 VENTURA BLVD,WOODLAND HILLS,
30,Asava Thai,"970 N Western Ave, Los Angeles, CA 90029",141.0,4.0,$$,"Thai, Asian Fusion",34.0880617420969,-118.308991191081,8325NKyo8lIrVt4KfQwqnQ,ASAVA THAI,970 N WESTERN AVE,LOS ANGELES,
31,Chop Stop,"1001 N San Fernando Blvd, Burbank, CA 91504",483.0,4.0,$,"Vegetarian, Salad",34.187009,-118.317692,A7p2LzqV6lnKohADU0qLYw,CHOP STOP,1001 N S F BLVD UNIT 110,BURBANK,
32,Wok Express,"15330 Amar Rd, Ste D, La Puente, CA 91744",93.0,4.0,$,"Chinese, Fast Food",34.036827,-117.950904,2ySb-iUjS2LzFaLPuWFg5A,WOK EXPRESS,15330 AMAR RD,LA PUENTE,
33,,,,,,,,,,STICKHOUSE,223 BROADWAY ST,SANTA MONICA,
34,Hugo's Tacos,"4749 Coldwater Canyon Ave, Studio City, CA 91604",983.0,3.5,$,Mexican,34.1573104858398,-118.414001464844,C-2IOguYoh_FKiP25Jx9Eg,HUGO'S TACOS,4749 COLDWATER CANYON BLVD,SHERMAN OAKS,
35,Jamba,"5300 Lankershim Blvd, Ste 160, North Hollywood, CA 91601",66.0,3.5,$,Juice Bars & Smoothies,34.1671373060877,-118.375461841531,lkJBA00gh8Re0V6mN8422w,JAMBA JUICE,5300 LNKERSHIM BLVD # 160,NORTH HOLLYWOOD,
36,Jade House,"18207 E Gale Ave, City of Industry, CA 91748",58.0,3.0,$,Chinese,33.9960863,-117.9062025,IinqDCWzU_2fnIdlENUGCg,JADE HOUSE,18207 E GALE AVE,INDUSTRY,
37,Tommy Taco,"970 Gayley Ave, Los Angeles, CA 90024",266.0,3.5,$,Tacos,34.0623468,-118.4479731,m_g1SSCAah3ThdnQD51nmA,TOMMY TACO,970 GAYLEY AVE,LOS ANGELES,
38,Toluco's Restaurant,"497 E Washington Blvd, Montebello, CA 90640",20.0,4.5,$$,Mexican,33.9921920427613,-118.113693145421,Tq7scC1oADtZgFd6qIqycg,TOLUCO'S RESTAURANT LLC,497 E WASHINGTON BLVD,MONTEBELLO,
39,,,,,,,,,,HYGGE BAKERY & CAFE,1106 HOPE ST,LOS ANGELES,
40,,,,,,,,,,APFEL,403 N PCH HWY STE 100,REDONDO BEACH,
41,Dollar Tree,"18409 Avalon Blvd, Ste 6072, Victory Park Shopping Center, Carson, CA 90746",14.0,2.0,$,Discount Store,33.86235,-118.26698,ScQ1W6psmIhQw54dEXLyHA,DOLLAR TREE,18409 S AVALON BLVD,CARSON,
42,Gelateria Uli,"541 S Spring St, Ste 104, Spring Arcade Building, Los Angeles, CA 90013",678.0,4.5,$,"Ice Cream & Frozen Yogurt, Gelato, Coffee & Tea",34.0466413015739,-118.250713186508,6QBrXAfQ9U-DbNf6rAlNIg,GELATERIA ULI,541 S SPRING ST STE# 104,LOS ANGELES,
43,J's Liquors,"22332 Normandie Ave, Torrance, CA 90502",1.0,1.0,,"Beer, Wine & Spirits",33.82334,-118.29796,3LLK5HXzaLQYVuikYZxQ4A,J'S LIQUOR & DELI,22332 S NORMANDIE AVE,TORRANCE,
44,Tenmimi,"2327 Honolulu Ave, Glendale, CA 91020",139.0,4.0,$$,Chinese,34.20621,-118.22909,65urP2c472ANZdlmc_NEww,TENMIMI,2327 HONOLULU AVE,MONTROSE,
45,Hans BBQ Teriyaki,"16022 Amar Rd, City of Industry, CA 91744",95.0,4.0,$,Japanese,34.0358482297691,-117.935578497409,wFvudiojom8D6ixPaqpYzg,HANS TERIYAKI,16022 E AMAR RD,INDUSTRY,
46,Restaurante Sorpresa,"2635 E Gage Ave, Los Angeles, CA 90255",1.0,5.0,,"Mexican, Imported Food",33.9817649,-118.2243174,nfRtFau_PloqC2MWXO3_2Q,RESTAURANTE SORPRESA,2635 GAGE AVE,HUNTINGTON PARK,
