,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,The Anchor,,"American (New), Bars, Seafood",994.0,4.0,$$,33.9970197,-118.4789505,Z25bbmY8OYwIM7NDvPjyVg,THE ANCHOR,235 MAIN ST,VENICE,,,
1,Taco Bell,,"Fast Food, Mexican",41.0,2.5,$,33.810767,-118.290821,P1__l_gqSkJ_9cGuGwzVxw,TACO BELL /PIZZA HUT EXPRESS,921 W SEPULVEDA BLVD,TORRANCE,,,
2,California Market,,Shopping,87.0,3.5,$,34.0657653808594,-118.308464050293,JLadeC9w57Njn8Q1-dmwSA,CALIFORNIA MARKET - BANCHAN KITCHEN,450 S WESTERN AVE,LOS ANGELES,,,
3,AMC Sunset 5,,Cinema,374.0,3.5,,34.09746,-118.36513,lCOT09YNzCj-mkfbQtntUQ,AMC SUNSET 5 - DINE-IN,8000 W SUNSET BLVD,LOS ANGELES,,,
4,Variety Liquor,,"Beer, Wine & Spirits",1.0,4.0,$,33.9312210083008,-118.358680725098,pYkhM76nyRaidA7iENOPRw,VARIETY LIQUOR,4669 W IMPERIAL HWY,INGLEWOOD,,,
5,,,,,,,,,,PHO22-NORTHRIDGE,9651 RESEDA BLVD,NORTHRIDGE,,,
6,Marmalade Cafe - El Segundo,,"American (New), Breakfast & Brunch, Cafes",1115.0,4.0,$$,33.9039926852308,-118.393832445145,I0L8djFjAUx0oIF3ZiWjUQ,MARMALADE CAFE,2014 PARK PL,EL SEGUNDO,,,
7,HomeTown Buffet,,"Buffets, Breakfast & Brunch, American (Traditional)",175.0,2.0,$$,34.21402010901743,-118.4476265,FcDY7FRo-QRc7wTOkRZIBw,HOMETOWN BUFFET #297,7868 VAN NUYS BLVD,PANORAMA CITY,,,
8,Yum Yum Donuts,,"Donuts, Sandwiches, Coffee & Tea",41.0,3.0,$,33.95953,-118.38425,nWxbyyVtmMEFzSt7i0-3WQ,YUM YUM DONUTS #9147D,5836 W MANCHESTER AVE,LOS ANGELES,,,
9,Sweet Crush Ice Bar,,"Desserts, Ice Cream & Frozen Yogurt, Caterers",143.0,4.0,$,34.053408577448,-118.46790732565,z3TztmDxaEebXsAAgRLG6g,SWEETR CRUSH,11753 SAN VICENTE BLVD,LOS ANGELES,,,
10,Peddler's Creamery,,"Desserts, Ice Cream & Frozen Yogurt",422.0,4.0,$,34.04673,-118.24803,pEeK_tgLq_fZj-4lRR5HGw,PEDDLERS CREAMERY,458 S MAIN ST,LOS ANGELES,,,
