,name,address,review_count,rating,price,categories,latitude_yelp,longitude_yelp,yelp_id,hours,program_name,facility_address,facility_city
0,,,,,,,,,,,ECHOPLEX,1822 W SUNSET BLVD,LOS ANGELES
1,Wendy's,,34,2,$,"Burgers, Fast Food",33.88881,-118.0285,15Cvhc4I7-XjhvlJDYPrBQ,,WENDY'S #111,15700 VALLEY VIEW AVE,LA MIRADA
2,,,,,,,,,,,RATHEON CAFE,2000 E EL SEGUNDO BLVD,EL SEGUNDO
3,Tutti Frutti Frozen Yogurt,,11,2.5,$,Ice Cream & Frozen Yogurt,34.03298,-118.19318,Eq18hWL-BECczGRtVdhmMA,,YOGURT TUTTI FRUTTI,3544 E 3RD PL,LOS ANGELES
4,Trattoria Bella Roma,,521,4.5,$$,"Italian, Pizza, Salad",34.05192889,-118.3844935,1g0N_c_9zFCdnYDViKnZAA,,TRATTORIA BELLA ROMA,1509 S ROBERTSON BLVD,LOS ANGELES
5,,,,,,,,,,,GELSONS MEAT MKT,5500 RESEDA BLVD,TARZANA
6,United Oil Rapid 03,,81,2.5,,"Gas Stations, Car Wash",33.988147,-118.358929,2OeZqVjUZgoQPGxfzsQlJA,,UNITED OIL #103,4700 W SLAUSON AVE,LOS ANGELES
7,WaBa Grill,,145,3.5,$,"Asian Fusion, Fast Food",34.07469506,-117.8816825,aZDXw7wrgxm2bEKC6ZD7YA,,WABA GRILL #41,245 N BARRANCA ST # #4,WEST COVINA
8,Los Altos Meat Market,,4,2.5,,Meat Shops,33.83189011,-118.2931595,dp7Atvuub84SBWdnq6tapw,,LOS ALTOS MARKET,1019 W CARSON ST,TORRANCE
9,Cancoon Thai Restaurant,,191,4,$$,Thai,33.8894349,-118.1348015,_5UUPLjpzv-Td46OPfLS2A,,CANCOON THAI RESTAURANT,9349 ALONDRA BLVD,BELLFLOWER
10,VFW POST 3752,,13,3.5,$,"Beer, Wine & Spirits, Recreation Centers",33.96500413,-118.0594535,Nxnvj25nA5_s22zVaao6vA,,VFW POST #3752,11912 E RIVERA RD STE #A,SANTA FE SPRINGS
11,Pho Hana,,208,4,$$,"Vietnamese, Barbeque, Korean",33.77386011,-118.376375,URATEALHMwaX9pYv-LgCWw,,HANA PHO RESTAURANT,55 PENINSULA CTR STE B,ROLLING HILLS ESTATES
12,,,,,,,,,,,FRITO MISTO,601 COLORADO AVE,SANTA MONICA
13,Cugurt,,366,4,$,"Persian/Iranian, Greek",34.10570192,-118.2869589,lTEr_zbtbwmoA3WtoCwQzQ,,CUGURT,1904 1/2 HILLHURST AVE,LOS ANGELES
14,Yogurtland Lynwood,,49,4.5,$,"Desserts, Ice Cream & Frozen Yogurt",33.929064,-118.213017,TyC6Z2_xSzgutyYdAQwLFA,,YOGURTLAND,11215 LONG BEACH BLVD,LYNWOOD
15,,,,,,,,,,,BOTANICA NATURISTA EL EDEN,422 W ARROW HWY STE K7,COVINA
16,,,,,,,,,,,VIDA SANA CENTROL NATURAL,2661 E FLORENCE AVE STE E,HUNTINGTON PARK
17,Ethical Drug,,9,3.5,$$,Drugstores,34.07576434,-118.3090927,2s4ZzOnp99q7nHbjnERkaQ,,ETHICAL DRUGS,254 N WESTERN AVE,LOS ANGELES
18,Langley Senior Citizens Center,,2,5,,Senior Centers,34.0657692,-118.1283569,SK9xMGzG4BcE4aFCrPOZGQ,,MONTEREY PARK LANGLEY SENIOR,400 W EMERSON AVE,MONTEREY PARK
19,Mariscos Las Islitas,,30,3,$$,"Seafood, Mexican",33.8997402,-118.0833764,jeTeX9GDIPBb1byeHCpayw,,TACOS Y MARISCOS LAS ISLISAS,14419 S PIONEER BLVD,NORWALK
20,Carl's Jr,,65,1.5,$,"Fast Food, Burgers",33.83138945,-118.2640708,AYyzAUuD0bm781QXi8HbqQ,,CARL'S JR,21703 S AVALON BLVD,CARSON
21,Dog Haus Biergarten,,88,4,$$,"Hot Dogs, Burgers, Beer Gardens",34.02225,-118.28009,9AzSmxjfl4xT_LZ0lrqVuA,,DOG HAUS,3335 S FIGUEROA ST #D,LOS ANGELES
22,Osteria La Buca,,1937,4,$$,"Italian, Pizza, Breakfast & Brunch",34.08333668,-118.3139372,GKQApReu8U9hip4A2ApJ_A,,OSTERIA LA BUCA,5210 MELROSE AVE,LOS ANGELES
23,Mimi's Cafe,,378,3,$$,"Breakfast & Brunch, American (Traditional), French",33.85351604,-118.1411036,3JDSUaRf8xawQFKNxE4dpw,,MIMI'S CAFE #76,4404 CANDLEWOOD ST,LAKEWOOD
24,Pizza Man,,144,3.5,$,"Pizza, Sandwiches, Chicken Wings",34.1813488,-118.3034229,ubiv0jnSrgRnREX55NHPhw,,PIZZA MAN 51,334 S GLENOAKS BLVD,BURBANK
25,Vons,,264,3,$$,"Grocery, Pharmacy",34.069848,-118.2910931,tk1pZN54Xzm--lL_-zxn1A,,VONS MEAT MARKET,3461 W 3RD ST,LOS ANGELES
26,Subway,,6,2,$,Sandwiches,34.5802556,-118.0950931,Ct51xwQgoIImIq4JgFMpnw,,SUBWAY - 1309,1823 E PALMDALE BLVD STE A,PALMDALE
27,Maine Express,,40,3.5,$,Chinese,34.0876222,-117.9602851,91XLxK9yBClIpS4sNV6vWw,,MAINE EXPRESS,4138 N MAINE AVE STE #N-1,BALDWIN PARK
28,Walgreens,,120,2.5,$,"Drugstores, Convenience Stores, Cosmetics & Beauty Supply",34.17443085,-118.2986526,3O-FnhTRKY5Xm1XbVk4O-w,,WALGREENS,1028 S SAN FERNANDO BLVD,BURBANK
29,Jack in the Box,,70,2.5,$,"Fast Food, Burgers, Tacos",34.14288228,-118.2403712,FSj0WXj9Ig2eG3h9heM0sA,,JACK IN THE BOX #325,1131 E COLORADO ST,GLENDALE
30,One Life Natural Foods,,75,3.5,$$$,Health Markets,33.9985179,-118.4798902,ANdx3t5Hgj7mMDKaYpZjww,,ONE LIFE NATURAL FOODS - KITCHEN,3001 MAIN ST,SANTA MONICA
31,Baskin-Robbins,,40,3,$,"Ice Cream & Frozen Yogurt, Desserts, Custom Cakes",34.2429388,-118.4672651,IXGXxSvye8IJ2fQfktLdGg,,BASKIN ROBBINS #3134,9502 SEPULVEDA BLVD,NORTH HILLS
32,Juan Pollo,,82,3,$,Mexican,34.0567517,-117.7499671,Yvwaz_w-QIwscpQztSRv8A,,JUAN POLLO #100,300 S GAREY AVE,POMONA
33,Short Stop,,1,1,,"Beer, Wine & Spirits, Convenience Stores",34.18081,-118.44909,7Ornfi82ljE_jBX7BSucag,,SHORT STOP #27,7929 VAN NUYS BLVD,PANORAMA CITY
34,Myra's Salvadorian Cuisine,,154,3,$,Salvadoran,33.9593469,-118.1418621,vhh-RNhUtwI_S95pAncN5w,,MYRA'S SALVADOREAN CUISINE,7324 FLORENCE AVE,DOWNEY
35,Fatburger,,258,3,$,"Fast Food, American (Traditional), Ice Cream & Frozen Yogurt",34.172383,-118.370553,plapL0yb68wZZCJkt545GQ,,FATBURGER,11009 BURBANK BLVD # 126,NORTH HOLLYWOOD
36,Mariscos El Ostion,,164,3.5,$$,"Mexican, Seafood",34.0550374,-117.7607553,QapW-Abl-WMKD9eJTj3K_g,,MARISCOS EL OSTION,995 W MISSION BLVD,POMONA
37,China Wok Express,,4,5,,"Chinese, Bubble Tea",33.93142,-118.265676,oMMD9lQPuqUS81bZYlrnzg,,CHINA WOK EXPRESS,425 IMPERIAL HWY B,LOS ANGELES
38,Tacos El Sinaloense,,54,4,$,Mexican,33.90386,-118.19017,RJseAA28QcOLe8zIRMT4bA,,TACOS EL SINALOENSE,4813 E ROSECRANS AVE,COMPTON
39,Panificadora Cisneros Bakery,,5,5,$,Bakeries,33.9211731,-118.0393372,_XOhu1SanVSYIVkM-iUN4Q,,PANIFICADORA CISNEROS BAKERY,13746 MEYER RD,WHITTIER
40,Ixtapa Sports Bar,,2,1.5,,Sports Bars,33.93738174,-118.1816635,WP6VH8cJ0vxbqztWGHniDg,,IXTAPA BAR,10308 ATLANTIC AVE,SOUTH GATE
41,Poke Season,,36,4,$$,"Poke, Hawaiian",34.23548029,-118.2586873,PTEY00-9j_JXIeUcF-1tEQ,,POKE SEASON,3630 FOOTHILL BLVD,LA CRESCENTA
42,Citrus College,,1,4,,Cosmetology Schools,34.13422,-117.88686,hkiKFdaAQxWaWeInJ4Oq_Q,,CITRUS COLLEGE - RANGE AT CITRUS,1000 W FOOTHILL BLVD,GLENDORA
43,,,,,,,,,,,WAL-MART-DELI,14530 NORDHOFF ST,PANORAMA CITY
44,Rite Aid,,30,4,$$,"Drugstores, Convenience Stores",34.155954,-118.757814,ZoefkoBbb3nsunPsQHy-pg,,RITE AID #05539,5747 N KANAN RD,AGOURA HILLS
45,The Hungry Cat,,1199,3.5,$$,"Seafood, Bars",34.098748,-118.327181,iLlJQyGUXwmv4CYa_hrllQ,,THE HUNGRY CAT,1535 N VINE ST,LOS ANGELES
46,Yogurtland Monrovia,,133,4,$,Ice Cream & Frozen Yogurt,34.151169,-118.00083,JT-6dzRTZcbkBjggQ2OkLQ,,YOGURTLAND,104 S MYRTLE AVE,MONROVIA
47,Stox Restaurant & Bakery,,312,3.5,$$,"Bakeries, American (Traditional)",33.9168854,-118.124588,jDhj60LaSnihRapHUNkW_g,,STOX RESTAURANT,9518 E IMPERIAL HWY,DOWNEY
48,Food 4 Less,,42,3,$$,"Grocery, Meat Shops, Bakeries",34.21616222,-118.3896634,HkR5LmJdwhs7lHiStSqs0g,,FOOD 4 LESS #332 - DELI,8035 WEBB AVE,NORTH HOLLYWOOD
49,,,,,,,,,,,DAILY DONUTS,100 E CENTURY BLVD # #A,LOS ANGELES
50,CVS Pharmacy,,122,1.5,$,"Drugstores, Pharmacy, Convenience Stores",34.0459,-118.526,h4z6NnJhEROu0CFOsLwe6Q,,CVS/PHARMACY #9775,864 SWARTHMORE AVE,PACIFIC PALISADES
51,Vitello's Express,,283,3.5,$$,"Italian, Pizza, Burgers",34.14776,-118.43143,5156S5OU6xQFuhXjNXt5wg,,VITELLO'S EXPRESS,13702 VENTURA BLVD,SHERMAN OAKS
52,Pavilions,,176,3,$$,"Grocery, Pharmacy",34.0845425,-118.3272183,lv4EPvyjyrhkB2lHBFnQng,,PAVILIONS #2229 - BAKERY & DELI,727 N VINE ST,LOS ANGELES
53,Cold Stone Creamery,,121,2.5,$$,"Ice Cream & Frozen Yogurt, Custom Cakes, Cupcakes",34.0170258,-118.2826131,IvUgxNZhqGSonktgkDFnNQ,,COLDSTONE CREAMERY,3730 S FIGUEROA ST,LOS ANGELES
54,Food Picnic Day,,16,4,$,"Food Court, Korean",34.05213928,-118.3084717,xLHQaUntHqPPICylc4Z7Sg,,FOOD PICNIC DAY,3250 W OLYMPIC BLVD STE 311,LOS ANGELES
55,Mother's Nutritional Centers,,5,4,,"Grocery, Health Markets",33.9745482,-118.2501569,SulfM8wZTAOHd7FnLls8jg,,MOTHERS NUTRITIONAL CTR #447,1350 E FLORENCE AVE,LOS ANGELES
56,Ralphs,,277,3,$$,Grocery,34.09851476,-118.3484392,hPYZ6ENqgBabqTQEwrCqvQ,,AFC AT RALPHS#100,7257 W SUNSET BLVD,LOS ANGELES
57,Taco Tapatio,,83,4,$,Tacos,34.1331599,-117.90218,JluvTVT48Hcj0Jq99DSm9w,,TACO TAPATIO,502 E FOOTHILL BLVD,AZUSA
58,Shayan Express Restaurant,,132,4.5,$$,"Persian/Iranian, Halal, Middle Eastern",34.03795,-118.25319,vtK8-BFDUBRqNlTDKkRiKg,,SHAYAN EXPRESS RESTAURANT,945 S WALL ST STE #6,LOS ANGELES
59,,,,,,,,,,,SERATAL,4000 W 3RD ST # 1,LOS ANGELES
60,California Grill,,22,4,$,Fast Food,33.8441315,-118.2619629,9o2Cy_-H3gVfBd0XepCaJw,,CALIFORNIA GRILL,20700 S AVALON BLVD STE #523,CARSON
61,Everyday Cafe,,15,4.5,$,"Sushi Bars, Cafes",34.0694962,-118.404747,lQXqlX63JFAnOJstmbbdvA,,EVERYDAY CAFE,434 N CAMDEN DR,BEVERLY HILLS
