,name,address,review_count,rating,price,categories,latitude_yelp,longitude_yelp,yelp_id,hours,program_name,facility_address,facility_city,latitude,longitude
0,,,,,,,,,,,RALLYS B P,4345 MAINE AVE,BALDWIN PARK,,
1,South Bay Diner,,31,3.5,$$,"Latin American, American (Traditional), Asian Fusion",33.89531,-118.35176,1atIsDQvWJIxfMjXHu4Kcg,,SOUTH BAY CUCINA,15000 HAWTHORNE BLVD STE A,LAWNDALE,,
2,,,,,,,,,,,LA EXPRESS 1842 - GATE 35,300 WORLD WAY # 338,LOS ANGELES,,
3,Tacomiendo,,84,4.5,$,"Mexican, Breakfast & Brunch",34.02466,-118.14175,0PtF2I7OIYQt4MD4Yy-AMQ,,TACOMIENDO,3501 BEVERLY BLVD,MONTEBELLO,,
4,,,,,,,,,,,SNACKMART,1458 S SAN PEDRO ST UNIT #127,LOS ANGELES,,
5,Pancho's Tacos,,159,3.5,$,Mexican,34.004134,-118.4728633,eX0NAPNCGDdTYQQDDDMtZA,,PANCHOS TACOS INC,2920 LINCOLN BLVD,SANTA MONICA,,
6,Little Brother's Sushi,,21,5,,"Sushi Bars, Japanese",34.1683499,-118.53345,c532GAdLAWNutUEwDF-9sQ,,LITTLE BROTHERS SUSHI TARZANA,18373 VENTURA BLVD,TARZANA,,
7,Karas,,462,4,$$,"Barbeque, Pizza, Burgers",34.1447611,-118.2548151,cuQeL5alLr_UEjrSeQiPQQ,,KARAS RESTAURANT,158 S BRAND BLVD,GLENDALE,,
8,Casa de cafe bakery,,17,3,,"Bakeries, Desserts, Custom Cakes",33.94242,-118.352388,0DyBkk1S9vjHJD-TCesstw,,CASA DE CAFE BAKARY,10310 HAWTHORNE BLVD,INGLEWOOD,,
9,,,,,,,,,,,LA MEXICANA TAQUERIA,1911 E GAGE AVE,HUNTINGTON PARK,,
10,IL Bambino Restaurant,,187,4.5,$$,Italian,34.02647,-118.24329,fARvUjZALi0qdmgRS1uMhQ,,IL BAMBINO RESTAURANT,1403 HOOPER AVE,LOS ANGELES,,
11,Jersey Mike's Subs,,41,4,$,"Sandwiches, Fast Food, Delis",33.89083,-118.30027,6Bkc7lJfWHLqy9rgtPTR6Q,,JERSEY MIKE'S SUBS,1400 W REDONDO BEACH BLVD STE 110,GARDENA,,
12,La Familia hay sabor,,5,2.5,,New Mexican Cuisine,34.22113,-118.53732,0E1u8okswV4xKDudKcsH_A,,LA FAMILIA HAY SABOR,18515 ROSCOE BLVD,NORTHRIDGE,,
13,,,,,,,,,,,A & B WHOLESALE,4117 SLAUSON AVE,MAYWOOD,,
14,Tala Market,,1,1,,Grocery,33.94837952,-118.2390976,wzBAgy74AXpIL_EXjAXO8A,,VICTORIA MARKET #2,1865 E 97TH ST,LOS ANGELES,,
15,Domino's Pizza,,43,2,$,"Chicken Wings, Pizza, Sandwiches",34.2200749,-118.588842,#NAME?,,DOMINO'S PIZZA,20905 ROSCOE BLVD,CANOGA PARK,,
16,The Last Drop Cafe,,640,4.5,$,"Bakeries, Coffee & Tea, Sandwiches",34.0950205,-117.7164283,JLyP3zNKUb1VFD0MVj0ZxQ,,THE LAST DROP CAFE,119 HARVARD AVE,CLAREMONT,,
17,TESTA,,186,3.5,$$,"Cocktail Bars, American (New), Breakfast & Brunch",34.04209,-118.2637,GizHDInjgH6fKOH5c3Dgfw,,QUADLINE LLC/TESTA,1111 HOPE ST # 100,LOS ANGELES,,
18,Gelson's,,105,3.5,$$,"Delis, Grocery, Beer, Wine & Spirits",34.007018,-118.474928,FK4BC3QXWaTnFmxHHOVvBg,,GELSON'S MARKET #29 - FRESH JUICE / CUT FRUITS,2627 LINCOLN BLVD,SANTA MONICA,,
19,Olympic Burger,,178,4,$,"Burgers, American (Traditional), Fast Food",34.05211,-118.29195,87yQHTD_9NOCmiDCIpgyEw,,OLYMPIC BURGER,1001 S VERMONT AVE # 108,LOS ANGELES,,
20,Our Kosher Table,,5,4,,Kosher,34.07025,-118.4384,xZEj7-V4F2YFZOKY59MU1w,,UCLA HILLEL-OUR KOSHER TABLE,574 HILGARD AVE,LOS ANGELES,,
21,Special Cakes By Ruben,,113,4,$$,Custom Cakes,34.201544,-118.4147856,kM6lBfSvSQsHPt6PTFiCFQ,,SPECIAL CAKES,12915 SHERMAN WAY,NORTH HOLLYWOOD,,
22,Fiesta Michoacana,,4,4,$$,"Ice Cream & Frozen Yogurt, Juice Bars & Smoothies, Desserts",34.02546,-118.25341,I3FQSJiYL3FIedHWM9ZVhg,,FIESTA MICHOACANA,1000 E WASHINGTON BLVD # 116,LOS ANGELES,,
23,Winston Pies,,256,4,$$,"Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt",34.0536145,-118.4645502,X4VoBUeSyvlraAsKB4bNDg,,WINSTON PIES,11678 SAN VICENTE BLVD,LOS ANGELES,,
24,Freshii,,307,4,$$,"Vegetarian, Salad, Fast Food",34.24230672,-118.5597424,cWGbuH2kSfbSzzbp99caPg,,FRESHII,19500 PLUMMER ST # F6,NORTHRIDGE,,
25,Casa Montejo Restaurant,,3,3.5,,"Salad, Breakfast & Brunch, Burgers",34.05463,-118.26265,AByJx7rmn-KPcJQ4Jmn5ew,,CASA MONTEJO RESTAURANT,1125 W 6TH ST UNIT 105,LOS ANGELES,,
26,Espacio Bakery & Cafe,,35,4,$,"Bakeries, Cupcakes, Custom Cakes",34.01864739,-118.1146943,19YOqbhNNotboKY5Yx09NA,,J'S BAKERY CAFE,1513 W BEVERLY BLVD,MONTEBELLO,,
27,Baby Lobster,,51,3,$$,"Seafood, Mexican",34.038311,-118.2542496,__D9TH9-JRh_7CvWJcPZcQ,,BABY LOBSTER,1001 MAPLE AVE STE 201,LOS ANGELES,,
28,Sipan Bakery Express,,87,4.5,$,"Sandwiches, Armenian, Arabian",34.250364,-118.519492,KG7_W4AuXuml0vZBmp_ViQ,,SIPAN EXPRESS,17646 LASSEN ST,NORTHRIDGE,,
29,Delhi Bites,,162,3.5,$$,"Indian, Asian Fusion, Mexican",34.05844,-118.3087,2cm5bYhr-nGI2v8ZKtpCxQ,,DELHI BITES,740 S WESTERN AVE #115 - 116,LOS ANGELES,,
30,,,,,,,,,,,KRIMSEYS LLC,12900 VICTORY BLVD,NORTH HOLLYWOOD,,
31,Garage Restaurant,,138,2.5,$,"Chinese, Breakfast & Brunch",34.06341895,-118.1215541,Mwyw-cMwqF8peRlzqUm9Lw,,GARAGE KITCHEN,123 N LINCOLN AVE,MONTEREY PARK,,
32,See's Candies,,55,4.5,$$,"Chocolatiers & Shops, Candy Stores, Gift Shops",33.895112,-118.394381,BeWZRXdtDZbdEbEZgYgERQ,,SEE'S CANDY,2614 N SEPULVEDA BLVD,MANHATTAN BEACH,,
33,Family Fish Market,,202,4,$$,Seafood Markets,33.8625146,-118.2663949,hUf940E2HuvwYA5uaGDlBg,,FAMILY FISH MARKET,18503 AVALON BLVD,CARSON,,
34,Serina Bakery & Food,,2,1,,Bakeries,34.06269503,-118.0499542,_uCq8NWtmV9SskrM6Bu15Q,,FORTALEZA BAKERY RESTAURANT,10040 GARVEY AVE,EL MONTE,,
35,Nachos Lab,,229,4,$$,Mexican,33.901195,-118.299755,kk0_MTufPU-WKo6xXioBgA,,NACHOS LAB,1322 W ROSECRANS AVE,GARDENA,,
36,Big Fish Little Fish,,92,3,$$,"Poke, Asian Fusion",34.0590031,-118.418866,Yx-Q0-So7QpwkYOSxq60YQ,,BIG FISH LITTLE FISH POKE,10250 SANTA MONICA BLVD # FC23,LOS ANGELES,,
