,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,Wetzel's Pretzels,,Pretzels,57.0,3.0,$,34.0155771,34.0155771,XmIbvBdvy4DkWlwW0hDutw,WETZEL'S PRETZELS,1403 3RD STREET PROMENADE,SANTA MONICA,
1,Superior Grocers,,"Grocery, Bakeries, Meat Shops",48.0,3.0,$,34.022743,34.022743,yHbmF_sdmoqU22rfPvIIHQ,SUPERIOR GROCERS MEAT MARKET,3480 S LA BREA AVE,LOS ANGELES,
2,Le Pain Quotidien,,"Bakeries, Breakfast & Brunch, Coffee & Tea",389.0,4.0,$$,34.14606,34.14606,zHLlanpEyam5vZyN3_39Lg,LE PAIN QUOTIDIEN,13045 VENTURA BLVD,STUDIO CITY,
3,Pizza Joe's,,"Pizza, Salad, Sandwiches",130.0,4.0,$,34.1852289,34.1852289,BYLtDXrgUEzONRLgRd3viQ,PIZZA JOE'S,2287 N LAKE AVE,ALTADENA,
4,Golden Dragon Chinese,,Chinese,95.0,4.0,$,34.106878,34.106878,q1IqleP8gEi-v2NO62vtYQ,GOLDEN DRAGON CHINESE REST,1754 S GRAND AVE,GLENDORA,
5,Cinemark 18 and XD,,"Cinema, Venues & Event Spaces",400.0,2.5,,33.9786685,33.9786685,4ydzPQM7yY5ThBg6xXdJYA,CINEMARK LOWER SATELLITE CONCESSION,6081 CENTER DR STE 201,LOS ANGELES,
6,Sbarro,,"Italian, Pizza",26.0,2.5,$,34.0136367,34.0136367,CrRTCL3BmXd-lhvulqlRAQ,SBARRO PIZZA,395 SANTA MONICA PL #384,SANTA MONICA,
7,Electric Lotus,,Indian,388.0,4.5,$$,34.102787,34.102787,4LhbgdN4mxORJt3ZDc3r9Q,"PUBLIC HOUSE, BOLA, ELECTRIC LOTUS",1739 N VERMONT AVE,LOS ANGELES,
8,Raku Roll & Teriyaki,,Japanese,146.0,4.5,$,33.9983004,33.9983004,V7nZe3kogamRuskVPsYemA,RAKU TERIYAKI HOUSE,5416 NORWALK BLVD # B-1,WHITTIER,
9,,,,,,,,,,KOMASA RESTAURANT,351 E 2ND ST,LOS ANGELES,
10,Hwal A Kwang Jang,,"Korean, Seafood",200.0,4.0,$$,34.05871,34.05871,V3LOV2oYfCd6_a02z1-Z0A,HWAL UH KWANG JANG,730 S WESTERN AVE STE #101,LOS ANGELES,
11,Surati Farsan Mart,,"Indian, Vegetarian",589.0,3.5,$,33.862776,33.862776,SyfBHML1p50C26NyqqqlqQ,SURATI FARSAN MART,11814 E 186TH ST,ARTESIA,
12,Sam's Club,,"Grocery, Wholesale Stores, Tires",61.0,3.0,$$,34.293515,34.293515,h82-eVdZsEFiJ375lEiMbw,SAM'S CLUB MEAT DEPT,12920 FOOTHILL BLVD,SAN FERNANDO,
13,Old Village,,"Russian, Armenian",197.0,4.0,$$,34.13328,34.13328,uHrhJA1agOtOyUFxyBd9pA,OLD VILLAGE,1100 S CENTRAL AVE STE #D,GLENDALE,
14,Desert Rose,,"Mediterranean, American (New), Bars",910.0,3.5,$$,34.101978,34.101978,_LJ2Ub-G-UBQI9pHQvE-bA,DESERT ROSE,1700 HILLHURST AVE,LOS ANGELES,
15,Juice Crafters,,"Juice Bars & Smoothies, Breakfast & Brunch, Vegan",91.0,4.0,$$,34.107774,34.107774,FjeJOpiweItEdygOyv-49A,JUICE CRAFTERS,2740 N GRIFFITH PARK,LOS ANGELES,
16,,,,,,,,,,KANG'S KITCHEN,940 E DOMINGUEZ ST STE F,CARSON,
17,Hawaiian BBQ House,,"Hawaiian, Barbeque",68.0,3.0,$,34.0689051,34.0689051,CxiXifRbp3YwYxacuhhYqA,HAWAIIAN BBQ HOUSE,3552 W 3RD ST,LOS ANGELES,
18,,,,,,,,,,LOGE GALLERY BOX NORTH,777 W CHICK HEARN CT,LOS ANGELES,
19,Subway,,Sandwiches,14.0,2.5,$,34.2028192,34.2028192,SaGrVdkrSURmSVIzwhzJBQ,SUBWAY,7239 VAN NUYS BLVD,VAN NUYS,
20,Curry House,,"Seafood, Japanese Curry",633.0,3.5,$$,34.0685380940588,34.0685380940588,lnPXdWW66oxti7spOfK8aw,CURRY HOUSE,500 N ATLANTIC BLVD # #A110,MONTEREY PARK,
21,Restaurante Y Pupuseria El Manguito,,Latin American,67.0,4.5,$,34.200790735305,34.200790735305,xKNMgy0zJlsC1rh1gri3yw,EL MANGUITO,12650 SHERMAN WAY #19,NORTH HOLLYWOOD,
22,Blizz Frozen Yogurt,,Ice Cream & Frozen Yogurt,75.0,3.5,$,33.95429,33.95429,HZCP8KzSrvqZ8CLBnwbo3A,BLIZZ FROZEN YOGURT,10033 PARAMOUNT BLVD STE #E,DOWNEY,
23,Super A Foods,,Grocery,32.0,3.0,$$,34.0232172,34.0232172,1m4TvunlxcQil1oUTVZKCQ,SUPER A FOODS-BAKERY,2924 W BEVERLY BLVD,MONTEBELLO,
24,,,,,,,,,,MERCADO DON JUAN #2,2100 E NADEAU ST,LOS ANGELES,
25,Starbucks,,Coffee & Tea,121.0,4.0,$,34.157121,34.157121,As6KfXvjCvo2htiQNMNBhA,STARBUCKS #11603,4900 TOPANGA CANYON BLVD,WOODLAND HILLS,
26,Echigo,,"Sushi Bars, Japanese, Seafood",464.0,4.0,$$$,34.0399454538879,34.0399454538879,J-l4Semm7D0jomNbptmMUg,ECHIGO,12217 SANTA MONICA BLVD STE 201,LOS ANGELES,
